client_id,age,situation_familiale,nb_enfants,revenu_mensuel,patrimoine,anciennete_client,type_contrat,taux_endettement,montant_credit,duree_credit,historique_impayes,score_interne,defaut
1,56,Célibataire,0,2090.19,109206.99,3,CDI,34.56,22187.15,36,0,632,1
2,69,Marié,0,2343.87,69684.88,27,CDI,21.79,41277.17,24,0,599,0
3,46,Marié,3,1671.92,82658.44,27,Indépendant,7.1,1000.0,12,0,427,0
4,32,Marié,2,2831.97,116707.49,24,CDI,34.58,34556.77,240,0,423,0
5,60,Marié,1,1161.38,67307.35,2,Retraité,39.82,31136.58,120,1,417,0
6,25,Célibataire,3,1201.98,36171.3,19,CDI,44.49,10620.46,120,2,450,0
7,38,Divorcé,0,2936.84,108242.08,17,CDD,11.2,1000.0,180,1,886,0
8,56,Marié,2,1585.51,88642.13,16,CDD,38.3,23046.95,240,0,521,0
9,75,Célibataire,2,3011.84,20653.95,4,CDD,35.39,43474.58,12,0,380,0
10,36,Marié,0,1901.61,16020.29,19,CDD,57.38,1000.0,180,0,411,0
11,40,Marié,2,1662.3,47888.97,9,CDI,14.5,49379.96,60,1,673,0
12,28,Célibataire,1,1512.62,85958.1,1,CDI,31.4,48069.05,60,1,768,0
13,28,Marié,0,1548.18,11101.16,21,CDI,29.36,23100.64,180,1,749,0
14,41,Célibataire,2,2071.65,55380.84,20,CDI,5.36,1299.33,60,0,635,0
15,70,Marié,0,1702.24,86229.14,0,CDI,50.5,32488.35,300,1,427,0
16,53,Divorcé,3,2375.04,40131.42,15,CDD,16.42,1000.0,180,0,833,0
17,57,Célibataire,2,800.0,61272.41,9,CDI,17.55,2758.66,36,0,764,0
18,41,Célibataire,1,1652.97,69598.59,2,CDI,27.17,30649.77,120,1,398,0
19,20,Marié,1,3749.15,80118.96,3,CDI,17.66,23895.79,180,0,877,0
20,39,Veuf,1,1242.6,53190.55,0,Indépendant,38.77,5842.67,60,0,426,0
21,70,Marié,2,1836.73,45019.67,27,CDI,30.1,31549.25,36,0,837,0
22,19,Marié,3,3739.13,90664.27,11,CDD,0.08,26091.86,60,0,407,0
23,41,Marié,0,2459.1,0.0,12,Indépendant,3.14,12259.33,36,0,714,0
24,61,Divorcé,0,800.0,84424.97,26,Indépendant,37.1,14771.8,48,0,460,1
25,47,Divorcé,1,3095.69,73334.08,7,CDI,18.86,16854.73,180,0,893,0
26,55,Célibataire,1,3685.49,110936.77,18,CDI,28.99,1000.0,60,0,669,0
27,19,Marié,1,2475.74,72998.02,4,CDD,34.93,33268.49,60,0,676,0
28,38,Marié,0,1941.59,8512.06,11,CDD,13.08,28983.59,120,0,796,0
29,50,Marié,0,800.0,54099.1,18,CDI,10.47,13206.23,60,0,313,0
30,29,Marié,2,2014.19,10816.81,3,CDI,39.36,20830.8,60,2,659,0
31,75,Marié,1,1253.67,95857.69,14,CDI,23.93,15394.28,180,2,368,0
32,39,Veuf,0,2491.53,0.0,24,Indépendant,47.94,37875.48,120,1,484,1
33,61,Célibataire,0,3327.74,0.0,12,CDI,39.32,9411.09,180,1,654,0
34,42,Célibataire,2,1511.0,1978.62,12,Retraité,35.18,29985.54,120,0,598,0
35,66,Marié,2,3185.0,0.0,2,CDI,58.88,13554.19,60,0,488,0
36,44,Célibataire,2,800.0,36998.82,7,CDI,21.46,29275.51,240,0,654,0
